parameter_id,domain,parameter_name,value,unit,value_type,status,source,reference_source,formula_or_rule,rounding,notes
dungeon.high_tier.combat_mode,dungeon,High-tier combat mode,full_v1,mode,enum,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,requires all six realm contracts,exact,Proposal rows only; do not merge into frozen CSV without provenance artifact
dungeon.high_tier.nascent_soul.boss_attack,dungeon,Nascent Soul boss attack,80,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.nascent_soul.boss_defence,dungeon,Nascent Soul boss defence,320,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.nascent_soul.boss_accuracy,dungeon,Nascent Soul boss accuracy,110,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.nascent_soul.boss_attack_interval_seconds,dungeon,Nascent Soul boss attack interval,5.0,seconds,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,>=0.001,one decimal,Await formal balance artifact
dungeon.high_tier.nascent_soul.boss_element,dungeon,Nascent Soul boss element,metal,element,enum,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,neutral|metal|wood|water|fire|earth,exact,Await formal balance artifact
dungeon.high_tier.nascent_soul.skills,dungeon,Nascent Soul boss skills,"[{""id"":""signature_suppression"",""kind"":""output_suppression"",""cooldownSeconds"":300,""durationSeconds"":2,""magnitude"":15},{""id"":""spirit_burn"",""kind"":""damage_over_time"",""cooldownSeconds"":120,""durationSeconds"":8,""magnitude"":8}]",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,supported full_v1 skill schema,exact,DoT semantics require formal approval
dungeon.high_tier.nascent_soul.resistances,dungeon,Nascent Soul resistances,"{""controlPercent"":25,""damageOverTimePercent"":30,""outputSuppressionPercent"":20}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,percent fields 0..100,exact,Await formal balance artifact
dungeon.high_tier.nascent_soul.auto_pill,dungeon,Nascent Soul auto pill,"{""thresholdPercent"":40,""healPerUse"":250,""targetPercent"":80,""maxUses"":47}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,target >= threshold,exact,Await formal balance artifact
dungeon.high_tier.divine_transformation.boss_attack,dungeon,Divine Transformation boss attack,180,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.divine_transformation.boss_defence,dungeon,Divine Transformation boss defence,700,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.divine_transformation.boss_accuracy,dungeon,Divine Transformation boss accuracy,115,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.divine_transformation.boss_attack_interval_seconds,dungeon,Divine Transformation boss attack interval,5.0,seconds,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,>=0.001,one decimal,Await formal balance artifact
dungeon.high_tier.divine_transformation.boss_element,dungeon,Divine Transformation boss element,wood,element,enum,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,neutral|metal|wood|water|fire|earth,exact,Await formal balance artifact
dungeon.high_tier.divine_transformation.skills,dungeon,Divine Transformation boss skills,"[{""id"":""signature_suppression"",""kind"":""output_suppression"",""cooldownSeconds"":300,""durationSeconds"":3,""magnitude"":20},{""id"":""spirit_burn"",""kind"":""damage_over_time"",""cooldownSeconds"":120,""durationSeconds"":10,""magnitude"":15}]",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,supported full_v1 skill schema,exact,DoT semantics require formal approval
dungeon.high_tier.divine_transformation.resistances,dungeon,Divine Transformation resistances,"{""controlPercent"":30,""damageOverTimePercent"":35,""outputSuppressionPercent"":25}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,percent fields 0..100,exact,Await formal balance artifact
dungeon.high_tier.divine_transformation.auto_pill,dungeon,Divine Transformation auto pill,"{""thresholdPercent"":40,""healPerUse"":250,""targetPercent"":80,""maxUses"":28}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,target >= threshold,exact,Await formal balance artifact
dungeon.high_tier.void_refining.boss_attack,dungeon,Void Refining boss attack,520,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
