parameter_id,domain,parameter_name,value,unit,value_type,status,source,reference_source,formula_or_rule,rounding,notes
core.time.seconds_per_minute,core,Seconds per minute,60,seconds,constant,confirmed,GDD convention,"",fixed,"",基础时间单位
core.time.seconds_per_hour,core,Seconds per hour,3600,seconds,constant,confirmed,GDD convention,"",fixed,"",每小时收益换算
core.time.minutes_per_hour,core,Minutes per hour,60,minutes,constant,confirmed,GDD convention,"",fixed,"",时间显示换算
core.probability.percent_min,core,Minimum probability,0,percent,constant,confirmed,design convention,"",clamp range,"",概率下限
core.probability.percent_max,core,Maximum probability,100,percent,constant,confirmed,design convention,"",clamp range,"",概率上限
growth.pacing.qi_complete_hours,growth,Qi completion target,24,hours,target,confirmed,GDD,"",first day target,"",炼气圆满
growth.pacing.foundation_entry_hours,growth,Foundation entry target,48,hours,target,confirmed,GDD,"",second day target,"",进入筑基
growth.pacing.core_complete_hours,growth,Core completion target,168,hours,target,confirmed,GDD,"",one week target,"",金丹圆满
growth.realm.substage_count,growth,High-realm substage count,10,substage,policy,frozen_v1,洞天设计,"",each high realm is divided into ten equal XP pacing substages,integer,高阶境界小境界数量
growth.realm.high_tier_training_share,growth,High-realm passive training share,0.35,ratio,policy,frozen_v1,洞天设计,"",base training throughput allocated alongside expeditions,2dp,高阶境界被动练功吞吐占比
growth.cultivation.qi_target_xp,growth,Qi completion cultivation XP,100000,cultivation_xp,target,frozen_v1,洞天设计,"","",integer,炼气目标
growth.cultivation.foundation_target_xp,growth,Foundation entry cultivation XP,150000,cultivation_xp,target,frozen_v1,洞天设计,"","",integer,筑基目标
growth.cultivation.core_target_xp,growth,Core completion cultivation XP,350000,cultivation_xp,target,frozen_v1,洞天设计,"","",integer,金丹目标
growth.cultivation.qi_efficiency_multiplier,growth,Qi cultivation efficiency,0.9920634921,ratio,scalar,frozen_v1,洞天设计,"","","",V1参数
growth.cultivation.foundation_efficiency_multiplier,growth,Foundation cultivation efficiency,0.496031746,ratio,scalar,frozen_v1,洞天设计,"","","",V1参数
growth.cultivation.core_efficiency_multiplier,growth,Core cultivation efficiency,0.396825396,ratio,scalar,frozen_v1,洞天设计,"","","",V1参数
growth.cultivation.reference_scale,growth,Cultivation reference scale,1.0,ratio,scalar,frozen_v1,洞天设计,"",reference XP * scale,4dp,洞天修为参考标尺
growth.cultivation.qi_rate,growth,Qi average cultivation rate,4166.6666667,cultivation_xp_per_hour,derived,frozen_v1,洞天设计,"","","",V1参数
growth.cultivation.foundation_rate,growth,Foundation average cultivation rate,3125,cultivation_xp_per_hour,derived,frozen_v1,洞天设计,"","","",V1参数
growth.cultivation.core_rate,growth,Core average cultivation rate,2083.3333333,cultivation_xp_per_hour,derived,frozen_v1,洞天设计,"","","",V1参数
growth.cultivation.qi_segment_rate,growth,Qi segment cultivation rate,4166.6666667,cultivation_xp_per_hour,derived,frozen_v1,洞天设计,"","","",V1参数
growth.cultivation.foundation_segment_rate,growth,Foundation segment gross rate,2916.6666667,cultivation_xp_per_hour,derived,frozen_v1,洞天设计,"","","",V1参数
growth.cultivation.core_segment_rate,growth,Core segment gross rate,2250,cultivation_xp_per_hour,derived,frozen_v1,洞天设计,"","","",V1参数
building.training_room.base_interval,building,Training base interval,60,seconds,scalar,frozen_v1,洞天设计,"","","",V1参数
building.training_room.base_cultivation_xp,building,Training XP per action,70,cultivation_xp_per_action,scalar,frozen_v1,洞天设计,"","","",V1参数
building.training_room.base_actions_per_hour,building,Training actions per hour,60,actions_per_hour,derived,frozen_v1,洞天设计,"",3600 / base_interval,integer,V1参数
building.training_room.base_cultivation_rate,building,Training cultivation rate,4200,cultivation_xp_per_hour,derived,frozen_v1,洞天设计,"",xp * actions,integer,V1参数
building.training_room.level_speed_multiplier,building,Training room level speed multiplier,1.0,ratio,scalar,frozen_v1,洞天设计,"",level 1 baseline; higher levels use building.level.speed_multiplier,4dp,练功房等级基准倍率
building.alchemy_room.failure_chance,building,Alchemy failure chance,0,percent,probability,frozen_v1,洞天设计,"",V1 production is deterministic; no hidden loss,integer,炼丹生产不引入隐式失败
building.forge_room.failure_chance,building,Forge failure chance,0,percent,probability,frozen_v1,洞天设计,"",V1 production is deterministic; no hidden loss,integer,炼器生产不引入隐式失败
building.alchemy_room.base_interval,building,Alchemy base interval,30,seconds,scalar,frozen_v1,洞天设计,"","","",V1参数
building.alchemy_room.output_per_action,building,Alchemy output per action,1,pill_per_batch,scalar,frozen_v1,洞天设计,"","","",V1参数
building.forge_room.base_interval,building,Forge base interval,60,seconds,scalar,frozen_v1,洞天设计,"","","",V1参数
building.forge_room.output_per_action,building,Forge output per action,1,equipment,scalar,frozen_v1,洞天设计,"","","",V1参数
building.production.modifier_order,building,Production modifier order,interval_then_quantity,policy,policy,frozen_v1,洞天设计,"","divide interval by building speed, then multiply output quantity modifiers",enum,生产 Modifier 应用顺序
building.production.rounding_policy,building,Production rounding policy,carry_fraction,policy,policy,frozen_v1,洞天设计,"",carry fractional action output across settlements; floor only executable whole actions,enum,生产小数余量结转规则
building.spirit_farm.base_growth_time,building,Farm growth time,7200,seconds,scalar,frozen_v1,洞天设计,"","","",V1参数
building.spirit_farm.plot_count,building,Farm plot count,4,plots,scalar,frozen_v1,洞天设计,"","","",V1参数
building.spirit_farm.herb_yield_per_plot,building,Farm herb yield per plot,120,spirit_herb,scalar,frozen_v1,洞天设计,"","","",V1参数
building.technique_pavilion.base_interval,building,Technique pavilion research interval,60,seconds,scalar,frozen_v1,洞天设计,"",one research action,integer,功法阁研究动作
building.technique_pavilion.research_xp_per_action,building,Technique pavilion research XP per action,70,cultivation_xp_per_action,scalar,frozen_v1,洞天设计,"",same as training action,integer,功法阁研究吞吐
building.upgrade.spirit_stone_base_cost.technique_pavilion,building,technique_pavilion upgrade base cost,1600,spirit_stone,cost,frozen_v1,洞天设计,"",building upgrade cost base,integer,功法阁升级
building.upgrade.spirit_stone_base_cost.treasure_pavilion,building,treasure_pavilion upgrade base cost,1800,spirit_stone,cost,frozen_v1,洞天设计,"",building upgrade cost base,integer,法宝阁升级
building.treasure_pavilion.token_multiplier_1,building,Treasure pavilion level 1 token multiplier,1.0,ratio,policy,frozen_v1,洞天设计,"",overflow token multiplier,4dp,法宝阁收藏印记倍率
building.treasure_pavilion.token_multiplier_2,building,Treasure pavilion level 2 token multiplier,1.1,ratio,policy,frozen_v1,洞天设计,"",overflow token multiplier,4dp,法宝阁收藏印记倍率
building.treasure_pavilion.token_multiplier_3,building,Treasure pavilion level 3 token multiplier,1.25,ratio,policy,frozen_v1,洞天设计,"",overflow token multiplier,4dp,法宝阁收藏印记倍率
building.treasure_pavilion.token_multiplier_4,building,Treasure pavilion level 4 token multiplier,1.5,ratio,policy,frozen_v1,洞天设计,"",overflow token multiplier,4dp,法宝阁收藏印记倍率
building.treasure_pavilion.token_multiplier_5,building,Treasure pavilion level 5 token multiplier,2.0,ratio,policy,frozen_v1,洞天设计,"",overflow token multiplier,4dp,法宝阁收藏印记倍率
